depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
0.0,14.21,33.08,5.9,100.9,2.4,0.0,0.34,0,0.34,0.13,24.661,327.1,0.0,0.0,0.02
2.0,14.21,33.08,5.9,100.9,2.4,0.0,0.34,2,0.34,0.13,24.661,327.1,0.007,0.0,0.02
10.0,14.2,33.075,5.9,100.9,2.3,0.0,0.34,10,0.33,0.12,24.659,327.5,0.033,0.0,0.02
14.0,14.22,33.079,5.9,100.9,2.2,0.0,0.34,14,0.33,0.13,24.658,327.7,0.046,0.0,0.02
20.0,14.2,33.073,5.9,100.8,2.2,0.1,0.35,20,0.32,0.11,24.658,327.9,0.066,0.0,0.02
30.0,14.22,33.077,5.9,100.9,2.1,0.1,0.34,30,0.32,0.1,24.657,328.3,0.098,0.0,0.02
32.0,14.23,33.084,5.9,100.9,2.1,0.1,0.34,32,0.32,0.1,24.661,328.0,0.105,0.0,0.02
47.0,14.24,33.091,5.89,100.8,2.0,0.0,0.35,47,0.32,0.13,24.664,328.1,0.154,0.0,0.02
50.0,14.25,33.086,5.89,100.8,2.0,0.0,0.36,50,0.31,0.1,24.658,328.7,0.164,0.0,0.02
62.0,14.26,33.089,5.83,99.8,1.9,0.0,0.32,62,0.32,0.11,24.659,329.0,0.203,0.0,0.02
75.0,14.01,33.05,5.91,100.6,2.0,0.1,0.33,75,0.34,0.1,24.681,327.2,0.246,0.06,0.02
91.0,13.54,33.115,5.8,97.8,2.2,0.9,0.17,91,0.41,0.11,24.828,313.6,0.297,0.0,0.01
0.0,12.63,33.575,6.07,100.7,7.8,6.5,1.92,0,0.77,0.52,25.362,260.3,0.0,0.17,0.13
2.0,12.63,33.575,6.07,100.7,7.8,6.5,1.92,2,0.77,0.52,25.362,260.4,0.005,0.17,0.13
7.0,12.65,33.574,6.07,100.8,7.8,6.4,1.98,7,0.74,0.5,25.358,260.9,0.018,0.05,0.12
10.0,12.55,33.571,6.05,100.2,7.8,6.6,1.98,10,0.75,0.57,25.375,259.4,0.026,0.05,0.11
15.0,12.53,33.576,6.01,99.5,7.9,6.8,1.97,15,0.76,0.66,25.383,258.7,0.039,0.05,0.1
20.0,12.38,33.585,5.83,96.3,8.7,7.8,1.38,20,0.82,0.57,25.419,255.4,0.052,0.07,0.08
23.0,12.27,33.592,5.62,92.6,9.2,9.1,0.97,23,0.89,0.49,25.445,253.0,0.059,0.08,0.06
30.0,11.37,33.684,4.65,75.2,14.1,15.3,0.37,30,1.27,0.32,25.685,230.3,0.076,0.03,0.03
31.0,11.34,33.682,4.49,72.5,14.9,16.3,0.31,31,1.33,0.3,25.689,230.0,0.079,0.02,0.03
45.0,10.31,33.792,3.2,50.6,21.7,22.7,0.08,45,1.76,0.13,25.957,204.8,0.109,0.01,0.02
0.0,13.52,32.937,6.01,101.2,2.1,0.0,0.45,0,0.36,0.15,24.692,324.1,0.0,0.0,0.03
2.0,13.52,32.937,6.01,101.2,2.1,0.0,0.45,2,0.36,0.15,24.692,324.1,0.006,0.0,0.03
10.0,13.52,32.934,6.01,101.2,2.0,0.0,0.42,10,0.36,0.13,24.69,324.6,0.032,0.0,0.03
12.0,13.52,32.94,6.01,101.2,2.0,0.0,0.41,12,0.36,0.13,24.695,324.2,0.039,0.0,0.03
29.0,12.56,32.873,6.05,99.8,3.1,1.6,0.45,29,0.49,0.17,24.833,311.5,0.093,0.12,0.02
30.0,12.23,32.808,6.07,99.4,3.2,1.7,0.48,30,0.5,0.18,24.845,310.3,0.097,0.12,0.02
42.0,12.06,32.805,6.18,100.8,3.9,2.4,0.57,42,0.52,0.22,24.875,307.7,0.134,0.09,0.03
57.0,11.91,32.822,6.12,99.6,4.3,3.3,0.39,57,0.59,0.2,24.917,304.1,0.18,0.16,0.02
75.0,11.54,32.87,5.97,96.4,5.3,4.9,0.22,75,0.69,0.14,25.022,294.4,0.234,0.08,0.02
81.0,11.33,32.893,5.93,95.3,5.9,5.6,0.19,81,0.73,0.13,25.078,289.2,0.251,0.06,0.02
