depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
0.0,12.14,33.537,5.46,89.7,9.6,8.4,1.0,0,0.88,0.39,25.427,254.1,0.0,0.12
2.0,12.14,33.537,5.46,89.7,9.6,8.4,1.0,2,0.88,0.39,25.427,254.2,0.005,0.12
6.0,12.14,33.538,5.45,89.5,9.5,8.4,1.06,6,0.87,0.33,25.428,254.2,0.015,0.11
10.0,12.15,33.537,5.46,89.7,9.5,8.4,1.0,10,0.87,0.4,25.425,254.6,0.025,0.13
20.0,12.15,33.538,5.46,89.7,9.5,8.3,0.96,20,0.88,0.29,25.426,254.7,0.051,0.16
29.0,12.13,33.539,5.43,89.2,9.6,8.5,1.1,29,0.88,0.38,25.431,254.5,0.074,0.14
30.0,12.14,33.533,5.43,89.2,9.6,8.5,1.1,30,0.88,0.38,25.425,255.1,0.076,0.15
40.0,12.13,33.539,5.44,89.3,9.6,8.5,1.02,40,0.9,0.31,25.431,254.7,0.102,0.2
50.0,12.11,33.541,5.42,88.9,9.8,8.6,1.01,50,0.89,0.32,25.437,254.5,0.127,0.17
60.0,12.1,33.541,5.42,88.9,9.8,8.7,1.0,60,0.92,0.36,25.439,254.5,0.153,0.25
70.0,12.05,33.545,5.35,87.7,10.2,9.0,0.94,70,0.96,0.39,25.452,253.6,0.178,0.27
0.0,11.65,33.108,6.14,99.5,5.7,5.0,0.92,0,0.68,0.29,25.185,277.1,0.0,0.37
2.0,11.65,33.108,6.14,99.5,5.7,5.0,0.92,2,0.68,0.29,25.185,277.2,0.006,0.37
10.0,11.65,33.136,6.13,99.4,4.5,4.2,0.97,10,0.6,0.26,25.207,275.3,0.028,0.52
20.0,11.65,33.166,6.1,98.9,5.9,5.4,1.01,20,0.71,0.26,25.231,273.3,0.055,0.44
30.0,11.88,33.52,5.76,94.1,9.2,9.3,0.88,30,0.94,0.41,25.464,251.4,0.081,0.58
40.0,11.85,33.604,5.39,88.0,10.6,10.9,0.37,40,1.01,0.46,25.535,244.9,0.106,0.62
50.0,10.58,33.747,3.32,52.8,19.5,21.3,0.14,50,1.66,0.17,25.875,212.7,0.129,0.51
60.0,10.37,33.78,3.07,48.6,20.2,21.7,0.09,60,1.75,0.13,25.938,206.9,0.15,0.59
70.0,10.26,33.803,2.99,47.2,21.3,22.7,0.07,70,1.79,0.14,25.975,203.6,0.171,0.33
75.0,10.09,33.828,2.92,46.0,22.2,23.4,0.05,75,1.83,0.13,26.023,199.1,0.181,0.18
84.0,9.97,33.855,2.78,43.6,23.9,24.5,0.03,84,1.91,0.11,26.065,195.4,0.198,0.0
99.0,9.77,33.899,2.61,40.8,25.7,25.6,0.02,100,1.99,0.11,26.133,189.2,0.227,0.23
100.0,9.74,33.9,2.6,40.6,25.8,25.7,0.02,101,2.0,0.11,26.139,188.7,0.229,0.23
122.0,9.41,33.978,2.3,35.7,29.1,27.4,0.0,123,2.13,0.09,26.254,178.1,0.269,0.24
125.0,9.36,33.99,2.27,35.2,29.5,27.6,0.0,126,2.14,0.09,26.272,176.5,0.275,0.22
139.0,9.23,34.029,2.14,33.1,31.2,28.2,0.01,140,2.2,0.09,26.324,171.8,0.299,0.09
150.0,9.11,34.048,2.09,32.2,32.0,28.5,0.01,151,2.22,0.09,26.358,168.8,0.318,0.04
169.0,9.05,34.074,2.01,31.0,33.2,29.0,0.01,170,2.24,0.08,26.388,166.3,0.35,0.01
199.0,8.82,34.11,1.75,26.8,36.6,30.2,0.01,200,2.37,0.08,26.453,160.6,0.399,0.0
0.0,11.87,33.426,6.18,100.8,8.3,6.3,1.33,0,0.72,0.43,25.392,257.5,0.0,0.65
2.0,11.87,33.426,6.18,100.8,8.3,6.3,1.33,2,0.72,0.43,25.392,257.6,0.005,0.65
10.0,11.96,33.516,6.15,100.6,9.0,7.1,1.3,10,0.77,0.45,25.445,252.7,0.026,0.71
20.0,12.0,33.613,6.02,98.6,9.7,8.4,1.12,20,0.85,0.52,25.513,246.5,0.051,0.8
24.0,11.99,33.613,5.99,98.1,10.5,8.6,1.03,24,0.86,0.46,25.515,246.4,0.06,0.98
30.0,11.94,33.619,5.95,97.3,10.4,9.0,0.94,30,0.88,0.5,25.529,245.2,0.075,0.97
40.0,11.66,33.655,5.43,88.3,13.0,12.0,0.49,40,1.08,0.45,25.609,237.8,0.099,1.0
50.0,10.55,33.77,3.48,55.3,21.2,21.2,0.17,50,1.65,0.28,25.899,210.5,0.122,0.92
59.0,10.26,33.812,3.18,50.2,23.1,22.8,0.1,59,1.75,0.22,25.982,202.8,0.14,0.89
70.0,9.98,33.853,2.93,46.0,25.4,24.2,0.05,70,1.85,0.18,26.061,195.4,0.162,0.9
75.0,9.83,33.882,2.79,43.7,26.3,24.9,0.05,75,1.91,0.15,26.109,190.9,0.172,0.9
85.0,9.64,33.927,2.52,39.3,28.1,26.1,0.06,85,2.01,0.12,26.176,184.8,0.191,0.89
100.0,9.39,33.981,2.32,36.0,31.6,27.2,0.02,101,2.08,0.19,26.26,177.1,0.218,1.0
119.0,9.31,34.002,2.19,33.9,32.0,27.8,0.01,120,2.15,0.12,26.289,174.7,0.251,0.78
125.0,9.25,34.015,2.15,33.2,32.5,27.8,0.01,126,2.14,0.11,26.309,172.9,0.262,0.71
